ECOLE;Annee Etude;Code_UE;Libelle_UE;Code_Ecu;Intitule_ECUE;Credits
EHAEV;LP3,4-EHAEV;UE122;Installation et gestion des espaces verts;ECUE1025;Initiation aux logiciels de conception des espaces verts;2
EHAEV;LP3,4-EHAEV;;Installation et gestion des espaces verts;ECUE1026;Techniques de conception, de réalisation , de Mise en place et de gestion des espaces verts;3
EHAEV;LP3,4-EHAEV;UE123;Techniques de production de plants horticoles;ECUE1027;Techniques de production massive  de plants en Horticulture;2
EHAEV;LP3,4-EHAEV;;Techniques de production de plants horticoles;ECUE1028;Génétique fondamentale - Génétique des populations;3
EHAEV;LP3,4-EHAEV;UE124;Sorties pédagogiques et Stage  en milieu professionnel;ECUE1029;Stage de conduite ,d'utilisation de machine , Equipements Agricoles et agroalimentaire;6
EHAEV;LP3,4-EHAEV;UE125;Technique de Communication et Citoyenneté;ECUE1030;Educations Civique -Education Physique et Sport;2
EHAEV;LP3,4-EHAEV;;Technique de Communication et Citoyenneté;ECUE1031;Anglais scientifique - Langues locales;2
EHAEV;LP3,4-EHAEV;UE126;Géoscience et Travail du sol en horticulture et en Aménagement;ECUE1032;Notions de Géosciences (Topographie et SIG);2
EHAEV;LP3,4-EHAEV;;Géoscience et Travail du sol en horticulture et en Aménagement;ECUE1033;Mécanisation des pratiques  agricoles en horticulture  et en aménagement paysager;2
EHAEV;LP3,4-EHAEV;UE127;Nuisibles et stratégies de lutte;ECUE1034;Phytopathologie-Ravageurs des cultures (maraîchères et fruitières) et Stratégies de lutte;3
EHAEV;LP3,4-EHAEV;;Nuisibles et stratégies de lutte;ECUE1035;Adventices et stratégies de lutte;1
EHAEV;LP3,4-EHAEV;;Nuisibles et stratégies de lutte;ECUE1036;Chimie hydroponique-Diversité, approvisionnement, utilisation et toxicité des produits;2
EHAEV;LP3,4-EHAEV;UE128;Itinéraires techniques et Expérimentations agricoles en Horticulture;ECUE1037;Principes d’Expérimentation agricole, dispositifs expérimentaux, test variétaux ;3
EHAEV;LP3,4-EHAEV;;Itinéraires techniques et Expérimentations agricoles en Horticulture;ECUE1038; Itinéraires techniques de production et connaissance des varietés de certaines cultures ;2
EHAEV;LP3,4-EHAEV;UE129;Gestion des Ressources Humaines et Techniques d'Expression;ECUE1039;Gestion des Ressources Humaines - Leadership;2
EHAEV;LP3,4-EHAEV;;Gestion des Ressources Humaines et Techniques d'Expression;ECUE1040;Anglais scientifique-Langues locales;2
EHAEV;LP3,4-EHAEV;UE130;Sorties pédagogiques et Stage en milieu professionnel;ECUE1041;Stage d'Analyse et de Management d'une entreprise horticole - Sortie pédagogique ;6
EHAEV;LP3,4-EHAEV;UE131;Droits, Economie et Sciences Sociales;ECUE1042;Droits foncier rural - Droit de Travail;2
EHAEV;LP3,4-EHAEV;;Droits, Economie et Sciences Sociales;ECUE1043;Structures agraires-Economie-Sociologie Rurales;3
EHAEV;LP3,4-EHAEV;UE132;Technologie Post-Récolte;ECUE1044;Méthode de Transformation des produits horticoles et ornementaux;2
