code_ue;designation;credit;code_ecole
UE1;Biologie et physiologie appliquées;5;LP1,2-EAQUA
UE10;Techniques de Production Végétale et animale;6;LP1,2-EAQUA
UE11;Stage et séminaire;6;LP1,2-EAQUA
UE2;Citoyenneté et Education Sportive;6;LP1,2-EAQUA
UE3;Bases de la production agricole;4;LP1,2-EAQUA
UE4;Maths, physique et chimie appliquées;6;LP1,2-EAQUA
UE5;Découverte de l'Environnement Professionnel;5;LP1,2-EAQUA
UE6;Communication;4;LP1,2-EAQUA
UE7;Conception des infrastructures aquacoles (aquarium, étang, cage, enclos, bac hors sol, écloserie etc.);6;LP1,2-EAQUA
UE8; Construction des infrastructures aquacoles (aquarium, étang, cage, enclos, bac hors sol, écloserie etc.);6;LP1,2-EAQUA
UE9;Physico-chimie de l’eau en aquaculture;6;LP1,2-EAQUA
UE100;Education sportive et communication;3;LP1,2-EGPVS
UE101;Science et technique de production végétale et de vivoplants;4;LP1,2-EGPVS
UE102;Biologie et connaissances endogènes des organismes col et Géosciences;4;LP1,2-EGPVS
UE90;Sol et Eau;5;LP1,2-EGPVS
UE91;Citoyenneté,Education Sportive et communication;4;LP1,2-EGPVS
UE92;Techniques de Production Végétale et animale;6;LP1,2-EGPVS
UE93;Sciences de la vie;4;LP1,2-EGPVS
UE94;Sciences Fondamentales;5;LP1,2-EGPVS
UE95;Découverte de l'Environnement Professionnel;6;LP1,2-EGPVS
UE96;Science du sol et Géosciences;5;LP1,2-EGPVS
UE97;Techniques de production des céréales et légumineuses;4;LP1,2-EGPVS
UE98;Pratiques agricoles et sortie pédagogique;6;LP1,2-EGPVS
UE99;Pratiques agricoles en station;4;LP1,2-EGPVS
UE29;Techniques de Production Végétale et animale;6;LP1,2-EHAEV
UE30;Sciences Fondamentales;5;LP1,2-EHAEV
UE31;Sorties pédagogiques et stage de découverte de l'Environnement Professionnel;6;LP1,2-EHAEV
UE32;Sols et Eaux;5;LP1,2-EHAEV
UE33;Sciences de la vie;4;LP1,2-EHAEV
UE34;Citoyenneté, Education Sportive et communication;4;LP1,2-EHAEV
UE35;Introduction et Plan d’Aménagement des espaces verts;5;LP1,2-EHAEV
UE36;Communication et Education sportive;3;LP1,2-EHAEV
UE37;Equipements agricoles et maîtrise de l’eau;3;LP1,2-EHAEV
UE38;Techniques de production horticole et production de vivo plants;8;LP1,2-EHAEV
UE39;Sciences du sol et Techniques de Fertilisation des sols;5;LP1,2-EHAEV
UE40;Sorties pédagogiques et Stage en entreprise horticole;6;LP1,2-EHAEV
UE60;Compétence de base;6;LP1,2-EMACoM
UE61;Citoyenneté, Communication orale et Ecrite et Education Sportive;6;LP1,2-EMACoM
UE62;Notion de topographie et pratiques professionnelles;6;LP1,2-EMACoM
UE63;Construction Mécanique;6;LP1,2-EMACoM
UE64;Mathématique avancées en ingénerie;6;LP1,2-EMACoM
UE65;Mécanisation agricole;6;LP1,2-EMACoM
UE66;Base de la production agricole;6;LP1,2-EMACoM
UE67;Thermo-Chimie;6;LP1,2-EMACoM
UE68;Mécanique;6;LP1,2-EMACoM
UE69;Conduite et réglages des équipements agricoles;6;LP1,2-EMACoM
UE123;Sciences Physiques et Chimiques ;6;LP1,2-ESTCTPA
UE124;Mathématiques  ;6;LP1,2-ESTCTPA
UE125;Sciences de la Vie & de la Terre I;6;LP1,2-ESTCTPA
UE126;Sciences & Techniques de Production Agricole I ;6;LP1,2-ESTCTPA
UE127;Techniques et Méthodes de Communication I ;6;LP1,2-ESTCTPA
UE128;Sciences de la Vie & de la Terre II ;6;LP1,2-ESTCTPA
UE129;Entrepreneuriat Agricole ;6;LP1,2-ESTCTPA
UE130;Sciences Sociales ;4;LP1,2-ESTCTPA
UE131;Techniques et Méthodes de Communication II ;4;LP1,2-ESTCTPA
UE132;Education Physique et Citoyenne  ;4;LP1,2-ESTCTPA
UE133;SIMPA&SAMR ;6;LP1,2-ESTCTPA
UE12;Aquaculture et Environnement;6;LP3,4-EAQUA
