matricule;filiere;annee_academique;semestre 1;semestre2;moyenne;observation
11519612;LP3,4-STA;2013-2014;Admis;Admis;13,62;PV
18249213;LP3,4-STA;2013-2014;Admis;Admis;12,56;PV
14183013;LP3,4-STA;2013-2014;Refuse;Refuse;11,84;PV
11469812;LP3,4-STA;2013-2014;Refuse;Refuse;11,99;PV
17647913;LP3,4-STA;2013-2014;Admis;Admis;13,98;PV
19716513;LP3,4-STA;2013-2014;Admis;Admis;12,66;PV
17893913;LP3,4-STA;2013-2014;Admis;Admis;12,4;PV
17371213;LP3,4-STA;2013-2014;Refuse;Refuse;10,58;PV
13074213;LP3,4-STA;2013-2014;Admis;Admis;14,51;PV
16843513;LP3,4-STA;2013-2014;Refuse;Refuse;12,28;PV
18692913;LP3,4-STA;2013-2014;Admis;Admis;11,68;PV
13415213;LP3,4-STA;2013-2014;Admis;Admis;13,05;PV
11587313;LP3,4-STA;2013-2014;Admis;Admis;12,92;PV
11469512;LP3,4-STA;2013-2014;Refuse;Refuse;12;PV
11148612;LP3,4-STA;2013-2014;Admis;Admis;12,16;PV
19514413;LP3,4-STA;2013-2014;Refuse;Refuse;12,4;PV
10545813;LP3,4-STA;2013-2014;Admis;Admis;13,01;PV
16460313;LP3,4-STA;2013-2014;Admis;Admis;13,97;PV
12111813;LP3,4-STA;2013-2014;Admis;Admis;13,71;PV
1520813;LP3,4-STA;2013-2014;Admis;Admis;12,49;PV
11052012;LP3,4-STA;2013-2014;Admis;Admis;12,95;PV
10591612;LP3,4-STA;2013-2014;Admis;Admis;12,66;PV
16251813;LP3,4-STA;2013-2014;Admis;Admis;13,88;PV
10648312;LP3,4-STA;2013-2014;Admis;Admis;14,79;PV
11028613;LP3,4-STA;2013-2014;Refuse;Refuse;12,51;PV
16108013;LP3,4-STA;2013-2014;Refuse;Refuse;9,85;PV
10137213;LP3,4-STA;2013-2014;Refuse;Refuse;11,85;PV
14723313;LP3,4-STA;2013-2014;Admis;Admis;13,16;PV
16096413;LP3,4-STA;2013-2014;Refuse;Refuse;13,02;PV
14511213;LP3,4-STA;2013-2014;Refuse;Refuse;12,04;PV
16803713;LP3,4-STA;2013-2014;Admis;Admis;11,85;PV
10998712;LP3,4-STA;2013-2014;Admis;Admis;12,41;PV
11455413;LP3,4-STA;2013-2014;Admis;Admis;13,28;PV
10022313;LP3,4-STA;2013-2014;Admis;Admis;14,02;PV
